日期,全球央行總持金量
2021-09-01,30398.8
2021-10-01,30414.7
2021-11-01,30410.0
2021-12-01,30377.2
2022-01-01,30374.2
2022-02-01,30418.7
2022-03-01,30415.2
2022-04-01,30442.9
2022-05-01,30471.1
2022-06-01,30493.9
2022-07-01,30507.5
2022-08-01,30519.0
2022-09-01,30549.0
2022-10-01,30553.4
2022-11-01,30601.4
2022-12-01,30630.7
2023-01-01,30718.2
2023-02-01,30772.5
2023-03-01,30780.8
2023-04-01,30704.4
2023-05-01,30669.3
2023-06-01,30720.8
2023-07-01,30752.2
2023-08-01,30829.2
2023-09-01,30889.1
2023-10-01,30932.7
2023-11-01,30983.6
2023-12-01,30994.0
2024-01-01,31034.0
2024-02-01,31077.5
2024-03-01,31091.2
2024-04-01,31122.4
2024-05-01,31139.9
2024-06-01,31123.8
2024-07-01,31107.4
2024-08-01,31110.7
2024-09-01,31149.6
2024-10-01,31191.6
2024-11-01,31247.3
2024-12-01,31248.1
2025-01-01,31256.6
2025-02-01,31287.8
2025-03-01,31325.1
2025-04-01,31347.8
2025-05-01,31377.8
2025-06-01,31388.7
2025-07-01,31403.5
2025-08-01,31419.0
2025-09-01,31459.7
2025-10-01,31492.0
2025-11-01,31532.9
2025-12-01,31550.6
2026-01-01,31560.2
2026-02-01,31586.2
2026-03-01,31473.5
2026-04-01,31539.4
2026-05-01,31538.9
